Year,Party_Type,State_Name,Expanded.Party.Name,Poll_No,Assembly_No,ID,Election_Type,ECI_Abb,Party_type_TCPD
2009,Registered (Unrecognised) Parties,Meghalaya,A-Chik National Congress(Democratic),0,15,8774,GE,ACNC,Local Party
2014,Registered (Unrecognised),Haryana,Aadarsh Janata Sewa Party,0,12,1,AE,AJNSP,
2019,,Haryana,Aadarsh Janata Sewa Party,0,17,1,GE,,Local Party
2015,Registered (Unrecognised),Bihar,Aadarsh Mithila Party,0,16,3,AE,AMIP,
2019,,Bihar,Aadarsh Mithila Party,0,17,3,GE,,Local Party
2019,,Uttar_Pradesh,Aadarsh Sangram Party,0,17,18345,GE,,Local Party
2017,Registered (Unrecognised),Uttar_Pradesh,Aadhi Aabadi Party,0,17,4,AE,AAPA,
2008,Registered (Unrecognised),Madhya_Pradesh,Aadijan Mukti Sena,0,13,5,AE,AMS,
2014,REGISTERED(Unrecognised) PARTIES,Madhya_Pradesh,Aadijan Mukti Sena,0,16,5,GE,AMS,Local Party
2017,Registered (Unrecognised),Uttar_Pradesh,Aadim Samaj Party,0,17,6,AE,AaSamP,
2017,Registered (Unrecognised),Uttar_Pradesh,Aadim Samaj Party,0,17,6,AE,AASAMP,
2018,Registered (Unrecognised),Madhya_Pradesh,Aadim Samaj Party,0,15,6,AE,ADSMP,
2007,Registered (Unrecognised),Gujarat,Aadivasi Sena Party,0,11,9,AE,Aadivasi Sena Party,
2007,Registered (Unrecognised) Party,Gujarat,Aadivasi Sena Party,0,11,9,AE,ADSP,
2009,Registered (Unrecognised) Parties,Gujarat,Aadivasi Sena Party,0,15,9,GE,ADSP,Local Party
2014,STATE PARTIES,Gujarat,Aadivasi Sena Party,0,16,9,GE,ADSP,Local Party
2017,Registered (Unrecognised),Uttar_Pradesh,Aajad Bharat Party (Democratic),0,17,11,AE,AABHAP,
2018,Registered (Unrecognised),Madhya_Pradesh,Aajad Bharat Party (Democratic),0,15,11,AE,AABHP,
2019,,Uttar_Pradesh,Aajad Bharat Party (Democratic),0,17,11,GE,,Local Party
2019,,Madhya_Pradesh,Aajad Bharat Party (Democratic),0,17,11,GE,,Local Party
2013,Registered (Unrecognised),Delhi,Aam Aadmi Party,0,9,13,AE,AAAP,
2014,State (Other States),Jammu_&_Kashmir,Aam Aadmi Party,0,10,13,AE,AAAP,
2014,State (Other States),Andhra_Pradesh,Aam Aadmi Party,0,14,13,AE,AAAP,
2014,state (Other),Odisha,Aam Aadmi Party,0,15,13,AE,AAAP,
2014,State (Other States),Arunachal_Pradesh,Aam Aadmi Party,0,9,13,AE,AAAP,
2014,STATE PARTIES,Andaman_&_Nicobar_Islands,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Andhra_Pradesh,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Arunachal_Pradesh,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Assam,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Bihar,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Chandigarh,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Chhattisgarh,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Dadra_&_Nagar_Haveli,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Daman_&_Diu,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Delhi,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Goa,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Gujarat,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Haryana,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Himachal_Pradesh,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Jammu_&_Kashmir,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Jharkhand,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Karnataka,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Kerala,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Madhya_Pradesh,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Maharashtra,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Manipur,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Meghalaya,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Mizoram,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Odisha,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Puducherry,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Punjab,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Rajasthan,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Sikkim,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Tamil_Nadu,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Tripura,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Uttar_Pradesh,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,STATE PARTIES,Uttarakhand,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2014,REGISTERED(Unrecognised) PARTIES,West_Bengal,Aam Aadmi Party,0,16,13,GE,AAAP,State-based Party
2015,State,Delhi,Aam Aadmi Party,0,10,13,AE,AAAP,
2016,State (Other States),West_Bengal,Aam Aadmi Party,0,16,13,AE,AAAP,
2017,state (Other),Gujarat,Aam Aadmi Party,0,13,13,AE,AAAP,
2017,state (Other),Punjab,Aam Aadmi Party,0,15,13,AE,AAAP,
2017,state (Other),Goa,Aam Aadmi Party,0,7,13,AE,AAAP,
2018,state (Other),Meghalaya,Aam Aadmi Party,0,10,13,AE,AAAP,
2018,state (Other),Nagaland,Aam Aadmi Party,0,13,13,AE,AAAP,
2014,State (Other States),Jammu_&_Kashmir,Aam Aadmi Party,0,10,13,AE,Aam Aadmi Party,
2018,State (Other States),Karnataka,Aam Aadmi Party,0,10,13,AE,Aam Aadmi Party,
2018,State (Other States),Karnataka,Aam Aadmi Party,0,10,13,AE,AAM AADMI PARTY,
2017,State (Other States),Gujarat,Aam Aadmi Party,0,13,13,AE,AAP,
2017,State (Other States),Punjab,Aam Aadmi Party,0,15,13,AE,AAP,
2017,State (Other States),Goa,Aam Aadmi Party,0,7,13,AE,AAP,
2017,,Punjab,Aam Aadmi Party,1,16,13,GE,AAP,State-based Party
2018,State (Other States),Karnataka,Aam Aadmi Party,0,10,13,AE,AAP,
2018,State (Other States),Meghalaya,Aam Aadmi Party,0,10,13,AE,AAP,
2018,State (Other States),Nagaland,Aam Aadmi Party,0,13,13,AE,AAP,
2018,State (Other States),Madhya_Pradesh,Aam Aadmi Party,0,15,13,AE,AAP,
2018,State (Other States),Rajasthan,Aam Aadmi Party,0,15,13,AE,AAP,
2018,State (Other States),Telangana,Aam Aadmi Party,0,2,13,AE,AAP,
2018,State (Other States),Chhattisgarh,Aam Aadmi Party,0,4,13,AE,AAP,
2019,,Andaman_&_Nicobar_Islands,Aam Aadmi Party,0,17,13,GE,AAP,State-based Party
2019,,Uttar_Pradesh,Aam Aadmi Party,0,17,13,GE,AAP,State-based Party
2019,,Bihar,Aam Aadmi Party,0,17,13,GE,AAP,State-based Party
2019,,Odisha,Aam Aadmi Party,0,17,13,GE,AAP,State-based Party
2019,,NCT_OF_Delhi,Aam Aadmi Party,0,17,13,GE,AAP,State-based Party
2019,,Haryana,Aam Aadmi Party,0,17,13,GE,AAP,State-based Party
2019,,Chandigarh,Aam Aadmi Party,0,17,13,GE,AAP,State-based Party
2019,,Punjab,Aam Aadmi Party,0,17,13,GE,AAP,State-based Party
2019,,Delhi,Aam Aadmi Party,0,17,13,GE,AAP,State-based Party
2019,,Goa,Aam Aadmi Party,0,17,13,GE,AAP,State-based Party
2019,,Bihar,Aam Adhikar Morcha,0,17,18008,GE,,Local Party
2019,,Jharkhand,Aam Adhikar Morcha,0,17,18008,GE,,Local Party
2014,REGISTERED(Unrecognised) PARTIES,Uttar_Pradesh,Aam Janata Party,0,16,15592,GE,AAMJP,Local Party
2015,Registered (Unrecognised),Bihar,Aam Janata Party,0,16,15592,AE,AAMJP,
2017,Registered (Unrecognised),Uttar_Pradesh,Aam Janata Party,0,17,15592,AE,AAMJP,
2019,,Uttar_Pradesh,Aam Janta Party (India),0,17,17584,GE,,Local Party
2015,Registered (Unrecognised),Bihar,Aam Janta Party Rashtriya,0,16,40,AE,AJPR,
2017,Registered (Unrecognised),Uttar_Pradesh,Aam Janta Party Rashtriya,0,17,40,AE,AJPR,
2019,,Bihar,Aam Janta Party Rashtriya,0,17,40,GE,,Local Party
2014,Registered (Unrecognized),Odisha,Aama Odisha Party,0,15,42,AE,AOP,
2014,REGISTERED(Unrecognised) PARTIES,Odisha,Aama Odisha Party,0,16,42,GE,AOP,Local Party
2015,Registered (Unrecognised),Bihar,Aap Aur Hum Party,0,16,43,AE,AAHPTY,
2019,,Bihar,Aap Aur Hum Party,0,17,43,GE,,Local Party
2018,Registered (Unrecognised),Chhattisgarh,Aap Sabki Apni Party,0,4,44,AE,ASBAP,
2014,Registered (Unrecognised),Jharkhand,Aapka Hamara Party,0,3,45,AE,AAMP,
2019,,Uttar_Pradesh,Aapki Apni Party (Peoples),0,17,18403,GE,,Local Party
2019,,NCT_OF_Delhi,Aapki Apni Party (Peoples),0,17,18403,GE,,Local Party
2019,,Haryana,Aapki Apni Party (Peoples),0,17,18403,GE,,Local Party
2019,,Delhi,Aapki Apni Party (Peoples),0,17,18403,GE,,Local Party
2019,,Maharashtra,Aapki Apni Party (Peoples),0,17,18403,GE,,Local Party
2017,Registered (Unrecognised),Punjab,Aapna Punjab Party,0,15,46,AE,APPA,
2017,Registered (Unrecognised),Gujarat,Aapni Sarkar Party,0,13,47,AE,Aapni Sarkar Party,
2017,Registered (Unrecognised),Gujarat,Aapni Sarkar Party,0,13,47,AE,ASAPA,
2014,Registered (Unrecognised),Haryana,Aarakshan Virodhi Party,0,12,53,AE,Aarakshan Virodhi Party,
2018,Registered (Unrecognised),Karnataka,AARAKSHAN VIRODHI PARTY,0,10,53,AE,AARAKSHAN VIRODHI PARTY,
2013,Registered (Unrecognised),Chhattisgarh,AARAKSHAN VIRODHI PARTY,0,3,53,AE,AVIRP,
2013,Registered (Unrecognised),Delhi,AARAKSHAN VIRODHI PARTY,0,9,53,AE,AVIRP,
2014,Registered (Unrecognised),Haryana,Aarakshan Virodhi Party,0,12,53,AE,AVIRP,
2014,REGISTERED(Unrecognised) PARTIES,Haryana,AARAKSHAN VIRODHI PARTY,0,16,53,GE,AVIRP,Local Party
2014,REGISTERED(Unrecognised) PARTIES,Rajasthan,AARAKSHAN VIRODHI PARTY,0,16,53,GE,AVIRP,Local Party
2015,Registered (Unrecognised),Bihar,AARAKSHAN VIRODHI PARTY,0,16,53,AE,AVIRP,
2017,Registered (Unrecognised),Uttar_Pradesh,AARAKSHAN VIRODHI PARTY,0,17,53,AE,AVIRP,
2017,Registered (Unrecognised),Uttarakhand,AARAKSHAN VIRODHI PARTY,0,4,53,AE,AVIRP,
2018,Registered (Unrecognised),Karnataka,AARAKSHAN VIRODHI PARTY,0,10,53,AE,AVIRP,
2018,Registered (Unrecognised),Madhya_Pradesh,AARAKSHAN VIRODHI PARTY,0,15,53,AE,AVIRP,
2018,Registered (Unrecognised),Rajasthan,AARAKSHAN VIRODHI PARTY,0,15,53,AE,AVIRP,
2019,,Madhya_Pradesh,AARAKSHAN VIRODHI PARTY,0,17,53,GE,,Local Party
2019,,Rajasthan,AARAKSHAN VIRODHI PARTY,0,17,53,GE,,Local Party
2019,,Haryana,AARAKSHAN VIRODHI PARTY,0,17,53,GE,,Local Party
2013,Registered (Unrecognised),Madhya_Pradesh,Aarthik Samanta Party,0,14,61,AE,AaSP,
2013,Registered (Unrecognised),Madhya_Pradesh,Aarthik Samanta Party,0,14,61,AE,AASP,
2019,,Maharashtra,Aasra Lokmanch Party,0,17,18085,GE,,Local Party
2014,REGISTERED(Unrecognised) PARTIES,Chhattisgarh,Aazadi Ka Antim Aandolan Dal,0,16,15596,GE,AKAAD,Local Party
2017,Registered (Unrecognised),Uttar_Pradesh,Abhay Samaj Party,0,17,62,AE,ABHASP,
1999,Registered (Unrecognised),Maharashtra,Abhinav Bharat Sangh,0,9,63,AE,ABS,
2018,Registered (Unrecognised),Rajasthan,Abhinav Rajasthan Party,0,15,64,AE,ABRJP,
1962,Registered (Unrecognised),Assam,Achik Asonna Chilchakgipa Kotak,0,3,65,AE,ACK,
1996,Registered (Unrecognised) Parties,Uttar_Pradesh,ADARASH LOK DAL,0,11,8961,GE,ALD,Local Party
1998,Registered (Unrecognised) Parties,Uttar_Pradesh,ADARASH LOK DAL,0,12,8961,GE,ALD,Local Party
2012,Registered (Unrecognised),Punjab,Adarsh Jan Shakti Party,0,14,66,AE,ADJSP,
1991,Registered (Unrecognised) Parties,Uttar_Pradesh,Adarsh Lok Dal,0,10,8961,GE,ALD,Local Party
1991,Registered (Unrecognised),Uttar_Pradesh,ADARSH LOK DAL,0,11,8961,AE,ALD,
1993,Registered (Unrecognised),Uttar_Pradesh,ADARSH LOK DAL,0,12,8961,AE,ALD,
1996,Registered (Unrecognised),Uttar_Pradesh,ADARSH LOK DAL,0,13,8961,AE,ALD,
2007,Registered (Unrecognised),Uttar_Pradesh,Adarsh Lok Dal,0,15,8961,AE,ALD,
2017,Registered (Unrecognised),Uttar_Pradesh,Adarsh Lok Dal,0,17,8961,AE,ALD,
2012,Registered (Unrecognised),Uttar_Pradesh,Adarsh Manavtawadi Party,0,16,72,AE,AMP,
2014,REGISTERED(Unrecognised) PARTIES,Uttar_Pradesh,Adarsh Manavtawadi Party,0,16,72,GE,AMP,Local Party
2019,,Madhya_Pradesh,Adarsh Nyay Rakshak Party,0,17,18321,GE,,Local Party
2007,Registered (Unrecognised),Himachal_Pradesh,Adarsh Political Party,0,11,75,AE,Adarsh Political Party,
2008,Registered (Unrecognised),Jammu_&_Kashmir,Adarsh Political Party,0,9,75,AE,Adarsh Political Party,
2005,Registered (Unrecognised),Bihar,Adarsh Political Party,0,13,75,AE,APP,
2007,Registered (Unrecognised) Party,Gujarat,Adarsh Political Party,0,11,75,AE,APP,
2007,Registered (Unrecognised),Himachal_Pradesh,Adarsh Political Party,0,11,75,AE,APP,
2007,Registered (Unrecognised),Punjab,Adarsh Political Party,0,13,75,AE,APP,
2007,Registered (Unrecognised),Uttar_Pradesh,Adarsh Political Party,0,15,75,AE,APP,
2008,Registered (Unrecognized),Nagaland,Adarsh Political Party,0,11,75,AE,APP,
2008,Registered (Unrecognised),Chhattisgarh,Adarsh Political Party,0,2,75,AE,APP,
2008,Registered (Unrecognised),Jammu_&_Kashmir,Adarsh Political Party,0,9,75,AE,APP,
2012,Registered (Unrecognised),Uttar_Pradesh,Adarsh Rashtriya Vikas Party,0,16,84,AE,ARVP,
2012,Registered (Unrecognised),Uttarakhand,Adarsh Rashtriya Vikas Party,0,3,84,AE,ARVP,
2014,REGISTERED(Unrecognised) PARTIES,Uttar_Pradesh,Adarsh Rashtriya Vikas Party,0,16,84,GE,ARVP,Local Party
2012,Registered (Unrecognised),Uttar_Pradesh,Adarsh Samaj Party,0,16,85,AE,A S P,
2014,REGISTERED(Unrecognised) PARTIES,Uttar_Pradesh,Adarsh Samaj Party,0,16,85,GE,A S P,Local Party
2017,Registered (Unrecognised),Uttar_Pradesh,Adarsh Samaj Party,0,17,85,AE,ADRSP,
2019,,Uttar_Pradesh,Adarsh Samaj Party,0,17,85,GE,,Local Party
2017,Registered (Unrecognised),Uttar_Pradesh,Adarsh Vyawastha Party,0,17,87,AE,AdVP,
2017,Registered (Unrecognised),Uttar_Pradesh,Adarsh Vyawastha Party,0,17,87,AE,ADVP,
2013,Registered (Unrecognised),Delhi,Adarshwaadi Congress Party,0,9,89,AE,AACP,
2017,Registered (Unrecognised),Uttar_Pradesh,Adarshwaadi Congress Party,0,17,89,AE,AACP,
2019,,Uttar_Pradesh,Adarshwaadi Congress Party,0,17,89,GE,,Local Party
2009,Registered (Unrecognised) Parties,Delhi,Adarshwadi Dal,0,15,9023,GE,AWD,Local Party
2012,Registered (Unrecognised),Uttar_Pradesh,Adarshwadi Dal,0,16,9023,AE,AWD,
2017,Registered (Unrecognised),Uttar_Pradesh,Adhikar Party,0,17,92,AE,ADHIKAR,
2018,Registered (Unrecognised),Madhya_Pradesh,Adhikar Vikas Party,0,15,94,AE,ADVIP,
2018,Registered (Unrecognised) Party,Chhattisgarh,Adhikar Vikas Party,0,4,94,AE,ADVIP,
2019,,Chhattisgarh,Adhikar Vikas Party,0,17,94,GE,,Local Party
2019,,Madhya_Pradesh,Adhikar Vikas Party,0,17,94,GE,,Local Party
2019,,Uttar_Pradesh,Adhunik Bharat Party,0,17,18290,GE,,Local Party
