no,name_of_member,state,party,term_start,term_end,vacation_date_reason,vacation_date,vacation_reason,party_normalized
96,Ansari Shri Faridul Haq,Uttar Pradesh,PSP,4/3/1958,4/2/1964,Retirement,4/2/1964,Retirement,
56,Basavapunnaiah Shri Makkineni,Madras,Communist,4/3/1952,4/2/1954,Retirement,4/2/1954,Retirement,
56,Basavapunnaiah Shri Makkineni,Andhra Pradesh,Communist,4/3/1954,4/2/1960,Retirement,4/2/1960,Retirement,
86,Bhanj Deo Shri Prafulla Chandra,Odisha,GP,4/3/1952,4/2/1954,Retirement,4/2/1954,Retirement,
86,Bhanj Deo Shri Prafulla Chandra,Odisha,GP,4/3/1954,4/2/1960,05/03/1959 Death,3/5/1959,Death,
139,Bose Dr. Atindra Nath,West Bengal,PSP,4/3/1958,4/2/1964,17/10/1961 Death,10/17/1961,Death,
42,Dave Shri Rohit Manushankar,Bombay,PSP,4/3/1958,4/2/1964,Retirement,4/2/1964,Retirement,
64,Deshmukh Shri Narsinghrao Balbhimrao,Bombay,PWP,4/3/1952,4/2/1954,Retirement,4/2/1954,Retirement,
64,Deshmukh Shri Narsinghrao Balbhimrao,Bombay,PWP,4/3/1954,4/2/1960,Retirement,4/2/1960,Retirement,
76,Dhage Shri Venkat Krishna,Bombay,PDF,4/3/1952,4/2/1956,Retirement,4/2/1956,Retirement,
84,Dhillon Shri Guraj Singh,Punjab,SAD,4/3/1952,4/2/1958,Retirement,4/2/1958,Retirement,
101,Dube Shri Baij Nath,Vindhya Pradesh,Socialist,4/3/1952,4/2/1954,Retirement,4/2/1954,Retirement,
122,Dwivedy Shri Surendranath,Odisha,Socialist,4/3/1952,4/2/1956,Retirement,4/2/1956,Retirement,
21,Ghose Shri Bimal Comar,West Bengal,PSP,4/3/1952,4/2/1958,21/03/1957 Elected to Lok Sabha,3/21/1957,ElectedtoLokSabha,
22,Ghose Principal Devaprasad,West Bengal,JS,4/3/1952,4/2/1954,Retirement,4/2/1954,Retirement,
55,Gour Dr. Raj Bahadur,Andhra Pradesh,PDF,4/3/1952,4/2/1956,Retirement,4/2/1956,Retirement,
55,Gour Dr. Raj Bahadur,Andhra Pradesh,Communist,4/3/1956,4/2/1962,Retirement,4/2/1962,Retirement,
103,Khobragade Shri Bhaurao Dewaji,Bombay,RPI,4/3/1958,4/2/1964,Retirement,4/2/1964,Retirement,
99,Patnaik Shri Dibakar,Odisha,PSP,4/3/1958,4/2/1964,Retirement,4/2/1964,Retirement,
26,Rajah Shri H. D.,Madras,RPI,4/3/1952,4/2/1958,Retirement,4/2/1958,Retirement,
26,Rajah Shri H. D.,Madras,RPI,4/3/1958,4/2/1964,30/11/1959 Death,11/30/1959,Death,
114,Rath Shri Abhimanyu,Odisha,GP,4/3/1956,4/2/1962,Retirement,4/2/1962,Retirement,
141,Reddy Shri C. G.,Mysore,Socialist,4/3/1952,4/2/1954,Retirement,4/2/1954,Retirement,
156,Reddy Shri Mulka Govinda,Karnataka,PSP,4/3/1958,4/2/1964,Retirement,4/2/1964,Retirement,
182,Singh Shri Ajit Pratap,Uttar Pradesh,JS,4/3/1958,4/2/1962,28/02/1962 Elected to Lok Sabha,2/28/1962,ElectedtoLokSabha,
198,Singh Shri Devendra Prasad,Bihar,PSP,4/3/1958,4/2/1964,Retirement,4/2/1964,Retirement,
267,Sinha Shri Maheswar Prasad Narain,Bihar,Socialist,4/3/1952,4/2/1956,Retirement,4/2/1956,Retirement,
326,Suryanarayana Shri Kommareddi,Andhra Pradesh,KMPP,4/3/1952,4/2/1958,Retirement,4/2/1958,Retirement,
32,Venkatanarayana Shri Pydah,Madras,PSP,4/3/1952,4/2/1958,Retirement,4/2/1958,Retirement,
52,Vijaya Raje Kunwarani,Bihar,JAN,4/3/1952,3/20/1957,20/03/1957 Resignation,3/20/1957,Resignation,
56,Basavapunnaiah Shri Makkineni,Andhra Pradesh,Communist,4/3/1960,4/2/1966,Retirement,4/2/1966,Retirement,
17,Chandrasekharan Shri K.,Kerala,Socialist,4/17/1967,4/2/1970,Retirement,4/2/1970,Retirement,
12,Dar Shri Abdul Ghani,Punjab,PIP,11/23/1962,2/23/1967,23/02/1967 Elected to Lok Sabha,2/23/1967,ElectedtoLokSabha,
56,Desai Shri Dajiba Balwantrao,Maharashtra,PWP,4/3/1960,4/2/1966,Retirement,4/2/1966,Retirement,
3,Gaikwad Shri B K,Maharashtra,Republican,4/3/1962,4/2/1968,Retirement,4/2/1968,Retirement,
3,Gaikwad Shri B K,Maharashtra,Republican,4/3/1968,4/2/1974,29/12/1971 Death,12/29/1971,Death,
39,Rajnarain Shri,Uttar Pradesh,Socialist,4/3/1966,4/2/1972,Retirement,4/2/1972,Retirement,
7,Vajpayee Shri Atal Bihari,Uttar Pradesh,BJP,4/3/1962,4/2/1968,25/02/1967 Elected to Lok Sabha,2/25/1967,ElectedtoLokSabha,
122,Asthana Shri K.B.,Uttar Pradesh,JP,7/14/1977,4/2/1980,Retirement,4/2/1980,Retirement,Janata Party
6,Bagaitkar Shri Sadasiv,Maharashtra,JP,4/3/1978,4/2/1984,05/12/1983 Death,12/5/1983,Death,Janata Party
24,Baleshwar Dayal Shri,Madhya Pradesh,JAN,7/14/1977,4/9/1978,Retirement,4/9/1978,Retirement,
24,Baleshwar Dayal Shri,Madhya Pradesh,JAN,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
35,Banarsi Das Shri,Uttar Pradesh,JAN,4/3/1972,4/2/1978,28/06/1977 Resignation,6/28/1977,Resignation,
76,Bhabhra Shri Hari Shankar,Rajasthan,BJP,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
17,Chandrasekharan Shri K.,Kerala,Socialist,4/3/1970,4/2/1976,Retirement,4/2/1976,Retirement,
26,Chatterjee Shri Pranab,Bihar,JP,4/10/1978,4/9/1984,02/06/1979 Death,6/2/1979,Death,Janata Party
51,Deo Shri K.P. Singh,Odisha,Swatantra,1/28/1972,4/2/1976,Retirement,4/2/1976,Retirement,B.L.D.
87,Dhulap Shri Krishnarao Narayan,Maharashtra,PWP,4/3/1974,4/2/1980,Retirement,4/2/1980,Retirement,
93,Dinesh Shri Singh,Uttar Pradesh,JAN,7/14/1977,4/2/1980,Retirement,4/2/1980,Retirement,
49,Goray Shri N G,Maharashtra,Socialist,4/3/1970,4/2/1976,Retirement,4/2/1976,Retirement,
79,Gupta Shri Ram Lakhan Prasad,Bihar,BJP,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
80,Gupta Shri Shyamlal,Bihar,JAN,4/10/1972,4/9/1978,Retirement,4/9/1978,Retirement,
26,Hegde Shri Ramakrishna,Karnataka,JP,4/10/1978,4/9/1984,23/05/1983 Resignation,5/23/1983,Resignation,Janata Dal
8,Jagbir Singh Shri,Uttar Pradesh,JLD,4/3/1974,4/2/1980,Retirement,4/2/1980,Retirement,Lok Dal
