no,name_of_member,state,party,term_start,term_end,vacation_date_reason,vacation_date,vacation_reason,party_normalized,intitial_check,check_Saloni,check_Taha
7,Chakradhar Shri A.,Andhra Pradesh,O,03/04/58,02/04/64,Retirement,02/04/64,Retirement,,S,,
87,Guruswami Shri S.,Madras,O,03/04/52,02/04/54,Retirement,02/04/54,Retirement,,S,,
23,Kamta Singh Shri,Bihar,O,03/04/58,02/04/64,Retirement,02/04/64,Retirement,,S,,
113,Kishen Chand Shri,Others,O,03/04/52,02/04/58,Retirement,02/04/58,Retirement,,S,,
147,Kulkarni Shri Gajanan Ramrao,Bombay,O,03/04/56,02/04/62,Retirement,02/04/62,Retirement,,S,,
79,Manjuran Shri Mathai,Travancore Cochin,O,03/04/52,02/04/54,Retirement,02/04/54,Retirement,,S,,
81,Mann Lt. Col. Sardar Joginder Singh,Patiala and East Punjab States Union,O,03/04/52,02/04/56,Retirement,02/04/56,Retirement,,S,,
148,Misra Shri Chandragopal Gajadharprasad.,Madhya Pradesh,O,03/04/52,02/04/54,Retirement,02/04/54,Retirement,,S,,
182,Mohanty Shri Surendra,Odisha,O,03/04/52,02/04/58,23/03/57,23/03/57,,,S,,
198,Mookerjee Dr. Radha Kumud,Nominated,O,03/04/52,02/04/58,Retirement,02/04/58,Retirement,,S,,
222,Munshi Shri Arman Ali,Manipur and Tripura,O,03/04/52,02/04/54,Retirement,02/04/54,Retirement,,S,,
43,Narendra Deva Shri,Uttar Pradesh,O,03/04/52,02/04/54,Retirement,02/04/54,Retirement,,S,,
43,Narendra Deva Shri,Uttar Pradesh,O,03/04/54,02/04/60,20/02/1956 Death,20/02/56,Death,,S,,
64,Niranjan Singh Shri,Madhya Pradesh,O,03/04/58,02/04/64,Retirement,02/04/64,Retirement,,S,,
9,Paliwal Shri Tika Ram,Rajasthan,O,03/04/58,02/04/64,01/03/1962 Elected to Lok Sabha,01/03/62,ElectedtoLokSabha,,S,,
38,Parameswaran Shri B.,Madras,O,03/04/58,02/04/64,12/03/1962 Resignation,12/03/62,Resignation,,S,,
53,Parvathi Krishnan Smt.,Tamil Nadu,O,03/04/54,02/04/60,12/03/1957 Elected to Lok Sabha,12/03/57,ElectedtoLokSabha,,S,,
62,Patel Shri Dahyabhai V.,Bombay,O,03/04/58,02/04/64,Retirement,02/04/64,Retirement,,S,,
63,Patel Shri Harihar,Odisha,O,03/04/58,02/04/64,28/06/1961 Resignation,28/06/61,Resignation,,S,,
121,Raut Shri Rajaram Balkrishna,Bombay,O,03/04/52,02/04/58,15/03/1957 Elected to Lok Sabha,15/03/57,ElectedtoLokSabha,,S,,
41,Sandil Shri Ghasiram,Odisha,O,05/05/59,02/04/60,Retirement,02/04/60,Retirement,,S,,
263,Sinha Shri Ganga Sharan,Bihar,O,03/04/56,02/04/62,Retirement,02/04/62,Retirement,,S,,
109,Duggal Shri Harcharan Singh,Punjab,O,28/03/69,02/04/70,Retirement,02/04/70,Retirement,,S,,
4,Hakim Ali Khawja,Jammu & Kashmir,O,22/08/61,02/04/62,Retirement,02/04/62,Retirement,,S,,
2,Jadhav Shri D.K.,Madhya Pradesh,O,25/03/69,02/04/70,Retirement,02/04/70,Retirement,,S,,
5,Kaimal Shri Aravindakshan,Kerala,O,17/04/67,02/04/68,Retirement,02/04/68,Retirement,,S,,
29,Kapoor Shri Giriraj Kishore,Madhya Pradesh,O,03/04/64,29/08/85,29/08/1965 Death,29/08/65,Death,,S,,
94,Khandekar Shri Rameshehandra Shankarrao,Madhya Pradesh,O,03/04/62,02/04/68,Retirement,02/04/68,Retirement,,S,,
158,Kureel Shri Piare Lall alias Piare Lall Talib Unnavi,Uttar Pradesh,O,03/04/60,02/04/66,Retirement,02/04/66,Retirement,,S,,
14,Lal Prof. Mukut Behari,Uttar Pradesh,O,03/04/60,02/04/66,Retirement,02/04/66,Retirement,,S,,
32,Limaye Shri Shripad Krishna,Maharashtra,O,03/04/60,02/04/66,Retirement,02/04/66,Retirement,,S,,
150,Misra Shri Lokanath,Odisha,O,03/04/60,02/04/66,Retirement,02/04/66,Retirement,,S,,
150,Misra Shri Lokanath,Odisha,O,03/04/66,02/04/72,Retirement,02/04/72,Retirement,,S,,
191,Mohta Shri Mahendra Kumar,Rajasthan,O,03/04/68,02/04/74,Retirement,02/04/74,Retirement,,S,,
197,Mookerjee Shri Debabrata,West Bengal,O,04/11/65,02/04/68,Retirement,02/04/68,Retirement,,S,,
224,Murahari Shri Godey,Uttar Pradesh,O,03/04/62,02/04/68,Retirement,02/04/68,Retirement,,S,,
224,Murahari Shri Godey,Uttar Pradesh,O,03/04/68,02/04/74,Retirement,02/04/74,Retirement,,S,,
2,Nafisul Hasan Shri,Uttar Pradesh,O,03/04/60,02/04/66,Retirement,02/04/66,Retirement,,S,,
9,Naicker Shri M.A. Manickavelu,Madras,O,03/04/62,02/04/68,15/04/1964 Resignation,15/04/64,Resignation,,T,,
11,Naidu Ms. M.L. Mary,Andhra Pradesh,O,03/04/64,02/04/70,Retirement,02/04/70,Retirement,,T,,
36,Narayan Shri M.D.,Mysore,O,03/04/66,02/04/72,Retirement,02/04/72,Retirement,,T,,
41,Narayanappa Shri Sanda,Andhra Pradesh,O,03/04/68,02/04/74,Retirement,02/04/74,Retirement,,T,,
58,Nehru Smt. Uma,Uttar Pradesh,O,03/04/62,02/04/68,28/08/1963 Death,28/08/63,Death,,T,,
64,Niranjan Singh Shri,Madhya Pradesh,O,03/04/64,02/04/70,17/10/1968 Death,17/10/68,Death,,T,,
2,Oberoi Shri Mohan Singh,Uttar Pradesh,O,03/04/62,02/04/68,04/03/1968 Elected to Lok Sabha,04/03/68,ElectedtoLokSabha,,T,,
3,Pahadia Shri Jagannath Prasad,Rajasthan,O,02/03/65,21/03/66,21/03/1966 Resignation,21/03/66,Resignation,,T,,
3,Pahadia Shri Jagannath Prasad,Rajasthan,O,22/03/66,23/02/67,23/02/1967 Elected to Lok Sabha,23/02/67,ElectedtoLokSabha,,T,,
51,Parthasarathy Prof.(Smt) G.,Madras,O,03/04/60,02/04/66,Retirement,02/04/66,Retirement,,T,,
52,Parthasarathy Shri R.T.,Madras,O,03/04/66,02/04/72,Retirement,02/04/72,Retirement,,T,,
62,Patel Shri Dahyabhai V.,Bombay,O,03/04/64,02/04/70,Retirement,02/04/70,Retirement,,T,,
67,Patel Ms. Maniben Vallabhbhai,Gujarat,O,03/04/64,02/04/70,Retirement,02/04/70,Retirement,,T,,
72,Patel Shri Sundarmani,Odisha,O,03/04/62,02/04/68,Retirement,02/04/68,Retirement,,T,,
72,Patel Shri Sundarmani,Odisha,O,03/04/68,02/04/74,Retirement,02/04/74,Retirement,,T,,
93,Patil Shri Udhavrao Sahebrao,Maharashtra,O,03/04/64,02/04/70,02/03/1967 Resignation,02/03/67,Resignation,,T,,
95,Patil Shri Vinayakrao Pandurang,Bombay,O,03/04/60,02/04/66,01/12/1962 Resignation,01/12/62,Resignation,,T,,
146,Prithwi Nath Shri,Uttar Pradesh,O,03/04/68,02/04/74,Retirement,02/04/74,Retirement,,T,,
64,Ramaswamy Shri V. V.,Madras,O,20/03/67,02/04/68,Retirement,02/04/68,Retirement,,T,,
148,Reddy Shri J. C. Nagi,Andhra Pradesh,O,03/04/60,16/09/64,Retirement,16/09/64,Retirement,,T,,
148,Reddy Shri J. C. Nagi,Andhra Pradesh,O,03/04/66,02/04/72,Retirement,02/04/72,Retirement,,T,,
152,Reddy Dr. M. Chenna,Andhra Pradesh,O,03/04/68,26/11/68,Retirement,26/11/68,Retirement,,T,,
156,Reddy Shri Mulka Govinda,Karnataka,O,03/04/64,02/04/70,Retirement,02/04/70,Retirement,,T,,
120,Shanti Devi Smt.,Uttar Pradesh,O,27/04/61,02/04/62,Retirement,02/04/62,Retirement,,T,,
263,Sinha Shri Ganga Sharan,Bihar,O,03/04/62,02/04/68,Retirement,02/04/68,Retirement,,T,,
42,Verma Shri Kesho Prasad,Madhya Pradesh,O,03/04/60,02/04/66,22/12/1960 Disqualification,22/12/60,Disqualification,,T,,
79,Khan Shri Ghayoor Ali,Uttar Pradesh,O,03/04/76,02/04/82,08/01/1980 Elected to Lok Sabha,08/01/80,ElectedtoLokSabha,,T,,
37,Lotha Shri Khyomo,Nagaland,O,04/03/74,04/02/80,Retirement,04/02/80,Retirement,,T,,
62,Patel Shri Dahyabhai V.,Bombay,O,03/04/70,02/04/76,11/08/1973 Death,11/08/73,Death,,T,,
5,Saha Shri Surajmal,Odisha,O,03/04/70,02/04/76,13/09/1971 Death,13/09/71,Death,,T,,
93,Dinesh Shri Singh,Uttar Pradesh,O,30/06/80,02/04/82,Retirement,02/04/82,Retirement,,T,,
22,Lather Shri Mohinder Singh,Haryana,O,03/04/88,02/04/94,Retirement,02/04/94,Retirement,JANATA DAL,T,,
97,Matto Shri Ghulam Rasool,Jammu & Kashmir,O,03/04/82,02/04/88,Retirement,02/04/88,Retirement,JAMMU & KASHMIR NATIONAL CONFERENCE,T,,
