sr_no,member_name,state,party,term,vacation_reason,from_date,to_date,,
1,Aas Mohammad Shri,Bihar,JD,03/04/1994 02/04/2000,Retirement,03/04/94,02/04/00,,
2,Abdi Shri Hashim Raja Allahabadi,Uttar Pradesh,CONG(I),03/04/1982 02/04/1988,Retirement,03/04/82,02/04/88,,
3,Abdul Khader Shri M.S.,Tamil Nadu,AIADMK,03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
4,Abdul Latif Shri,Tripura,CONG(I),03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
5,Abdul Rahim Shri,Madras,CONG(I),03/04/1958 02/04/1962,Retirement,03/04/58,02/04/62,,
6,Abdul Salam Haji,Manipur,INC,10/04/2014 09/04/2020,"28/02/2017
Death",10/04/14,09/04/20,,
7,Abdul Samad Shri A.K.A.,Tamil Nadu,ML,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
7,Abdul Samad Shri A.K.A.,Tamil Nadu,ML,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
8,Abdul Shakoor Maulana,Ajmer and Coorg,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
8,Abdul Shakoor Maulana,Rajasthan,Congress,03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
8,Abdul Shakoor Maulana,Rajasthan,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
9,Abdullah Dr. Farooq,Jammu & Kashmir,J&KNC,30/11/2002 29/11/2008,Retirement,30/11/02,29/11/08,,
9,Abdullah Dr. Farooq,Jammu & Kashmir,J&KNC,16/02/2009 15/02/2015,"16/05/2009
Elected to Lok Sabha",16/02/09,15/02/15,,
10,Abid Shri Kasim Ali,Andhra Pradesh,Congress,10/04/1972 09/04/1978,Retirement,10/04/72,09/04/78,,
11,Abid Ali Shri,Bombay,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
11,Abid Ali Shri,Bombay,Congress,03/04/1954 02/04/1958,Retirement,03/04/54,02/04/58,,
11,Abid Ali Shri,Bombay,Congress,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
11,Abid Ali Shri,Maharashtra,CONG(O),03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
12,Abraham Shri Joy,Kerala,KC(M),02/07/2012 01/07/2018,Retirement,02/07/12,01/07/18,,
13,Abraham Shri P.,Pondicherry,Congress,07/08/1963 06/08/1969,Retirement,07/08/63,06/08/69,,
14,Abrar Ahmed Dr.,Rajasthan,CONG(I),03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
14,Abrar Ahmed Dr.,Rajasthan,INC,10/04/2002 09/04/2008,"04/05/2004
Death",10/04/02,09/04/08,,
15,Abu Abraham Shri,Nominated,NOM.,03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
16,Acharya Shri Suryakantbhai,Gujarat,BJP,19/08/2005 18/08/2011,"21/12/2009
Death",19/08/05,18/08/11,,
17,Achuthan Shri M.P.,Kerala,CPI,22/04/2009 21/04/2015,Retirement,22/04/09,21/04/15,,
18,Adeeb Shri Mohammed,Uttar Pradesh,IND.,26/11/2008 25/11/2014,Retirement,26/11/08,25/11/14,,
19,Adik Shri Govindrao,Maharashtra,CONG(I),03/08/1993 02/04/1994,Retirement,03/08/93,02/04/94,,
19,Adik Shri Govindrao,Maharashtra,CONG(I),03/04/1994 02/04/2000,Retirement,03/04/94,02/04/00,,
19,Adik Shri Govindrao,Maharashtra,NCP,04/08/2009 02/04/2012,Retirement,04/08/09,02/04/12,,
20,Adiseshiah Dr. Malcolm Sathianathan,Nominated,NOM.,14/04/1978 13/04/1984,Retirement,14/04/78,13/04/84,,
21,Adityendra Shri,Rajasthan,Congress,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
22,Adivarekar Smt. Sushila Shankar,Maharashtra,Congress,18/09/1971 02/04/1972,Retirement,18/09/71,02/04/72,,
22,Adivarekar Smt. Sushila Shankar,Maharashtra,Congress,03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
22,Adivarekar Smt. Sushila Shankar,Maharashtra,CONG(I),03/04/1978 02/04/1984,Retirement,03/04/78,02/04/84,,
23,Advani Shri Lal K.,National Capital Territory of Delhi,JS,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
23,Advani Shri Lal K.,Gujarat,JS,03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
23,Advani Shri Lal K.,Madhya Pradesh,BJP,03/04/1982 02/04/1988,Retirement,03/04/82,02/04/88,,
23,Advani Shri Lal K.,Madhya Pradesh,BJP,03/04/1988 02/04/1994,"27/11/1989
Elected to Lok Sabha",03/04/88,02/04/94,,
24,Aga Ms. Anu,Nominated,NOM.,27/04/2012 26/04/2018,Retirement,27/04/12,26/04/18,,
25,Agarwal Shri Amar Nath,Uttar Pradesh,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
25,Agarwal Shri Amar Nath,Uttar Pradesh,Congress,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
26,Agarwal Shri Beni Prasad,West Bengal,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
27,Agarwal Shri Lakkhiram,Madhya Pradesh,BJP,10/04/1990 09/04/1996,Retirement,10/04/90,09/04/96,,
27,Agarwal Shri Lakkhiram,Madhya Pradesh,BJP,10/04/1996 31/10/2000,Retirement,10/04/96,31/10/00,,
27,Agarwal Shri Lakkhiram,Chhattisgarh,BJP,01/11/2000 09/04/2002,Retirement,01/11/00,09/04/02,,
28,Agarwal Prof. M.M.,Uttar Pradesh,IND.,03/04/2000 02/04/2006,Retirement,03/04/00,02/04/06,,
29,Agarwal Shri Ramdas,Rajasthan,BJP,10/04/1990 09/04/1996,Retirement,10/04/90,09/04/96,,
29,Agarwal Shri Ramdas,Rajasthan,BJP,10/04/1996 09/04/2002,Retirement,10/04/96,09/04/02,,
29,Agarwal Shri Ramdas,Rajasthan,BJP,04/04/2006 03/04/2012,Retirement,04/04/06,03/04/12,,
30,Agarwal Shri Satish,Rajasthan,BJP,03/04/1994 02/04/2000,"10/09/1997
Death",03/04/94,02/04/00,,
31,Agarwala Shri Ram Gopal,Bihar,Congress,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
31,Agarwala Shri Ram Gopal,Bihar,Congress,03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
32,Agarwalla Shri Parmeshwar Kumar,Bihar,BJP,08/07/1992 07/07/1998,Retirement,08/07/92,07/07/98,,
32,Agarwalla Shri Parmeshwar Kumar,Bihar,BJP,08/07/1998 14/11/2000,Retirement,08/07/98,14/11/00,,
32,Agarwalla Shri Parmeshwar Kumar,Jharkhand,BJP,15/11/2000 07/07/2004,Retirement,15/11/00,07/07/04,,
33,Aggarwal Shri Jai Parkash,National Capital Territory of Delhi,INC,28/01/2006 27/01/2012,"16/05/2009
Elected to Lok Sabha",28/01/06,27/01/12,,
34,Agnibhoj Shri Ramesh Umrao,Madhya Pradesh,Congress,10/11/1952 02/04/1958,Retirement,10/11/52,02/04/58,,
35,Agniraj Shri S.,Tamil Nadu,DMK,30/06/1998 29/06/2004,Retirement,30/06/98,29/06/04,,
36,Agrawal Shri Jagannath Prasad,Uttar Pradesh,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
36,Agrawal Shri Jagannath Prasad,Uttar Pradesh,Congress,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
37,Agrawal Shri Naresh,Uttar Pradesh,BSP,19/03/2010 02/04/2012,"12/03/2012
Resignation",19/03/10,02/04/12,,
37,Agrawal Shri Naresh,Uttar Pradesh,SP,03/04/2012 02/04/2018,Retirement,03/04/12,02/04/18,,
38,Ahluwalia Shri S.S.,Bihar,CONG(I),07/07/1986 06/07/1992,Retirement,07/07/86,06/07/92,,
38,Ahluwalia Shri S.S.,Bihar,CONG(I),08/07/1992 07/07/1998,Retirement,08/07/92,07/07/98,,
38,Ahluwalia Shri S.S.,Jharkhand,BJP,15/11/2000 02/04/2006,Retirement,15/11/00,02/04/06,,
38,Ahluwalia Shri S.S.,Jharkhand,BJP,03/04/2006 02/04/2012,Retirement,03/04/06,02/04/12,,
38,Ahluwalia Shri S.S.,Bihar,BJP,03/04/2000 14/11/2000,Reorganisation of the State,03/04/00,14/11/00,,
39,Ahmad Shri Wasim,Uttar Pradesh,IND.,30/11/1996 04/07/1998,Retirement,30/11/96,04/07/98,,
40,Ahmad Dr. Z.A.,Uttar Pradesh,CPI,03/04/1958 02/04/1964,"19/03/1962
Resignation",03/04/58,02/04/64,,
40,Ahmad Dr. Z.A.,Uttar Pradesh,CPI,03/04/1966 02/04/1972,Retirement,03/04/66,02/04/72,,
40,Ahmad Dr. Z.A.,Uttar Pradesh,CPI,03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
40,Ahmad Dr. Z.A.,Uttar Pradesh,CPI,23/08/1990 02/04/1994,Retirement,23/08/90,02/04/94,,
41,Ahmad Hussain Kazi,Bihar,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
41,Ahmad Hussain Kazi,Bihar,Congress,03/04/1958 02/04/1964,"29/07/1961
Death",03/04/58,02/04/64,,
42,Ahmed Shri Fakhruddin Ali,Assam,Congress,03/04/1954 02/04/1960,"25/03/1957
Resignation",03/04/54,02/04/60,,
42,Ahmed Shri Fakhruddin Ali,Assam,Congress,03/04/1966 02/04/1972,"25/02/1967
Elected to Lok Sabha",03/04/66,02/04/72,,
43,Ahmed Shri Sk. Khabir Uddin,West Bengal,CPI(M),03/04/2002 02/04/2008,Retirement,03/04/02,02/04/08,,
44,Aiyar Shri Mani Shankar,Nominated,INC,22/03/2010 21/03/2016,Retirement,22/03/10,21/03/16,,
45,Aizaz Rasul Begum,Uttar Pradesh,Congress,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
46,Ajit Singh Shri,Uttar Pradesh,JD,05/07/1986 04/07/1992,"27/11/1989
Elected to Lok Sabha",05/07/86,04/07/92,,
47,Ajmal Khan Shri M.,Nominated,NOM.,31/03/1964 02/04/1966,Retirement,31/03/64,02/04/66,,
47,Ajmal Khan Shri M.,Nominated,NOM.,03/04/1966 02/04/1972,"18/10/1969
Death",03/04/66,02/04/72,,
48,Akarapu Shri Sudarshan,Andhra Pradesh,TDP,10/04/2002 09/04/2008,Retirement,10/04/02,09/04/08,,
49,Akarte Shri Jagannath Sitaram,Maharashtra,CONG(I),05/07/1980 04/07/1986,Retirement,05/07/80,04/07/86,,
50,Akhtar Shri Javed,Nominated,NOM.,22/03/2010 21/03/2016,Retirement,22/03/10,21/03/16,,
51,Akhtar Shri Kamal,Uttar Pradesh,SP,05/07/2004 04/07/2010,Retirement,05/07/04,04/07/10,,
52,Akhtar Hussain Shri,Uttar Pradesh,Congress,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
52,Akhtar Hussain Shri,Uttar Pradesh,Congress,03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
53,Aladi Aruna Shri V. Arunachalam alias,Tamil Nadu,AIADMK,25/07/1983 24/07/1989,Retirement,25/07/83,24/07/89,,
54,Alagh Shri Yoginder K.,Gujarat,IND.,26/11/1996 02/04/2000,Retirement,26/11/96,02/04/00,,
55,Alexander Dr. P. C.,Maharashtra,IND.,29/07/2002 02/04/2008,Retirement,29/07/02,02/04/08,,
56,Ali Dr. Ejaz,Bihar,JD(U),20/03/2008 07/07/2010,Retirement,20/03/08,07/07/10,,
57,Ali Shri Munquad,Uttar Pradesh,BSP,03/04/2006 02/04/2012,Retirement,03/04/06,02/04/12,,
57,Ali Shri Munquad,Uttar Pradesh,BSP,03/04/2012 02/04/2018,Retirement,03/04/12,02/04/18,,
58,Ali Shri Sabir,Bihar,LJP,10/04/2008 09/04/2014,"15/11/2011
Resignation",10/04/08,09/04/14,,
58,Ali Shri Sabir,Bihar,JD(U),16/12/2011 09/04/2014,Retirement,16/12/11,09/04/14,,
59,Ali Shri Syed Rahmat,Andhra Pradesh,CONG(I),03/04/1980 02/04/1986,Retirement,03/04/80,02/04/86,,
60,Alia Kumari,Uttar Pradesh,CONG(I),11/10/1989 04/07/1992,Retirement,11/10/89,04/07/92,,
61,Alphonse Shri S.Peter,Tamil Nadu,CONG(I),03/04/1996 02/04/2002,"09/09/1997
Resignation",03/04/96,02/04/02,,
61,Alphonse Shri S.Peter,Tamil Nadu,TMC(M),10/10/1997 02/04/2002,Retirement,10/10/97,02/04/02,,
62,Alva Shri Joachim,Nominated,Congress,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
63,Alva Dr. K. Nagappa,Karnataka,CONG(O),03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
64,Alva Smt. Margaret,Karnataka,CONG(I),03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
64,Alva Smt. Margaret,Karnataka,CONG(I),03/04/1980 02/04/1986,Retirement,03/04/80,02/04/86,,
64,Alva Smt. Margaret,Karnataka,CONG(I),03/04/1986 02/04/1992,Retirement,03/04/86,02/04/92,,
64,Alva Smt. Margaret,Karnataka,CONG(I),03/04/1992 02/04/1998,Retirement,03/04/92,02/04/98,,
65,Alva Smt. Violet,Bombay,Congress,03/04/1952 02/04/1960,Retirement,03/04/52,02/04/60,,
65,Alva Smt. Violet,Bombay,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
65,Alva Smt. Violet,Mysore,Congress,03/04/1966 02/04/1972,"20/11/1969
Death",03/04/66,02/04/72,,
66,Alvi Shri Raashid,Andhra Pradesh,INC,22/06/2004 02/04/2006,Retirement,22/06/04,02/04/06,,
66,Alvi Shri Raashid,Andhra Pradesh,INC,03/04/2006 02/04/2012,Retirement,03/04/06,02/04/12,,
67,Amarjit Kaur Smt.,Punjab,CONG(I),03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
67,Amarjit Kaur Smt.,Punjab,CONG(I),03/04/1982 02/04/1988,Retirement,03/04/82,02/04/88,,
68,Amat Shri Debananda,Odisha,Congress,06/03/1973 02/04/1974,Retirement,06/03/73,02/04/74,,
69,Ambani Shri Anil Dhirubhai,Uttar Pradesh,IND.,04/07/2010 29/03/2006,"29/03/2006
Resignation",04/07/10,29/03/06,,
70,Ambedkar Shri B.R.,Bombay,SCF,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
70,Ambedkar Shri B.R.,Bombay,SCF,03/04/1956 02/04/1962,"06/12/1956
Death",03/04/56,02/04/62,,
71,Ambedkar Shri Prakash Yashwant,Nominated,NOM.,18/09/1990 17/09/1996,Retirement,18/09/90,17/09/96,,
72,Amin Shri Mohammed,West Bengal,CPI(M),03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
72,Amin Shri Mohammed,West Bengal,CPI(M),17/05/2007 18/08/2011,Retirement,17/05/07,18/08/11,,
73,Amjad Ali Shri Sardar,West Bengal,CONG(I),03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
74,Amla Shri Tirath Ram,Jammu & Kashmir,Congress,04/05/1967 02/04/1970,Retirement,04/05/67,02/04/70,,
74,Amla Shri Tirath Ram,Jammu & Kashmir,Congress,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
74,Amla Shri Tirath Ram,Jammu & Kashmir,Congress,03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
74,Amla Shri Tirath Ram,Jammu & Kashmir,CONG(I),12/12/1985 11/12/1991,Retirement,12/12/85,11/12/91,,
75,Ammanna Raja Smt. C.,Andhra Pradesh,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
76,Ammu Swaminadhan Smt.,Madras,Congress,09/11/1957 02/04/1960,Retirement,09/11/57,02/04/60,,
77,Amolakh Chand Shri,Uttar Pradesh,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
77,Amolakh Chand Shri,Uttar Pradesh,Congress,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
78,Amrit Kaur Rajkumari,Punjab,Congress,20/04/1957 02/04/1958,Retirement,20/04/57,02/04/58,,
78,Amrit Kaur Rajkumari,Punjab,Congress,03/04/1958 02/04/1964,"06/02/1964
Death",03/04/58,02/04/64,,
79,Amrita Pritam Smt.,Nominated,NOM.,12/05/1986 11/05/1992,Retirement,12/05/86,11/05/92,,
80,Anand Shri Jagjit Singh,Punjab,CPI,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
81,Anand Shri R. K.,Jharkhand,INC,03/04/2000 14/11/2000,Reorganisation of the State,03/04/00,14/11/00,,
81,Anand Shri R. K.,Jharkhand,INC,15/11/2000 02/04/2006,Retirement,15/11/00,02/04/06,,
82,Anand Chand Shri,Bihar,Congress,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
82,Anand Chand Shri,Bihar,Congress,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
83,Anandam Shri M.,Andhra Pradesh,Congress,11/03/1969 02/04/1974,Retirement,11/03/69,02/04/74,,
83,Anandam Shri M.,Andhra Pradesh,CONG(I),03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
84,Anandan Shri T.V.,Tamil Nadu,CONG(O),03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
84,Anandan Shri T.V.,Tamil Nadu,CONG(O),03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
85,Anant Ram Pandit,Jammu & Kashmir,J&KNC,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
86,Anbalagan Shri P.,Tamil Nadu,AIADMK,28/07/1980 02/04/1984,Retirement,28/07/80,02/04/84,,
87,Anbalagan Shri S.,Tamil Nadu,AIADMK,30/06/2004 29/06/2010,Retirement,30/06/04,29/06/10,,
88,Angelina Tiga Smt.,Bihar,JHKP,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
89,Angre Sardar Chandroji Sambhaji Rao,Madhya Bharat,HM,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
90,Angre Shri S.C.,Madhya Pradesh,JS,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
91,Anil Kumar Shri,Bihar,JD,08/07/1992 07/07/1998,Retirement,08/07/92,07/07/98,,
