no,name_of_member,state,party,term_start,term_end,vacation_date_reason,vacation_date,vacation_reason,party_normalized
4,Abdul Latif Shri,Tripura,CONG(I),1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,""
5,Abdul Rahim Shri,Madras,CONG(I),1958-04-03,1962-04-02,Retirement,1962-04-02,Retirement,""
8,Abdul Shakoor Maulana,Ajmer and Coorg,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
8,Abdul Shakoor Maulana,Rajasthan,Congress,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
11,Abid Ali Shri,Bombay,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
11,Abid Ali Shri,Bombay,Congress,1954-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
11,Abid Ali Shri,Bombay,Congress,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
21,Adityendra Shri,Rajasthan,Congress,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
25,Agarwal Shri Amar Nath,Uttar Pradesh,Congress,1952-04-03,1954-04-02,Retirement,1954-04-02,Retirement,INDIAN NATIONAL CONGRESS
25,Agarwal Shri Amar Nath,Uttar Pradesh,Congress,1954-04-03,1960-04-02,Retirement,1960-04-02,Retirement,INDIAN NATIONAL CONGRESS
26,Agarwal Shri Beni Prasad,West Bengal,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
31,Agarwala Shri Ram Gopal,Bihar,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
31,Agarwala Shri Ram Gopal,Bihar,Congress,1956-04-03,1962-04-02,Retirement,1962-04-02,Retirement,INDIAN NATIONAL CONGRESS
34,Agnibhoj Shri Ramesh Umrao,Madhya Pradesh,Congress,1952-11-10,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
36,Agrawal Shri Jagannath Prasad,Uttar Pradesh,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
36,Agrawal Shri Jagannath Prasad,Uttar Pradesh,Congress,1958-04-03,1964-04-02,Retirement,1964-04-02,Retirement,INDIAN NATIONAL CONGRESS
40,Ahmad Dr. Z.A.,Uttar Pradesh,CPI,1958-04-03,1964-04-02,19/03/1962 Resignation,1962-03-19,Resignation,COMMUNIST PARTY OF INDIA
41,Ahmad Hussain Kazi,Bihar,Congress,1952-04-03,1958-04-02,Retirement,1958-04-02,Retirement,INDIAN NATIONAL CONGRESS
41,Ahmad Hussain Kazi,Bihar,Congress,1958-04-03,1964-04-02,29/07/1961 Death,1961-07-29,Death,INDIAN NATIONAL CONGRESS
42,Ahmed Shri Fakhruddin Ali,Assam,Congress,1954-04-03,1960-04-02,25/03/1957 Resignation,1957-03-25,Resignation,INDIAN NATIONAL CONGRESS
45,Aizaz Rasul Begum,Uttar Pradesh,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
52,Akhtar Hussain Shri,Uttar Pradesh,Congress,1952-04-03,1956-04-02,Retirement,1956-04-02,Retirement,INDIAN NATIONAL CONGRESS
