s_no,member_name,state,party,term,vacate_reason
1,Aas Mohammad Shri,Bihar,JD,03/04/1994 02/04/2000,Retirement
2,Abdi Shri Hashim Raja Allahabadi,Uttar Pradesh,CONG(I),03/04/1982 02/04/1988,Retirement
3,Abdul Khader Shri M.S.,Tamil Nadu,AIADMK,03/04/1972 02/04/1978,Retirement
4,Abdul Latif Shri,Tripura,CONG(I),03/04/1956 02/04/1962,Retirement
5,Abdul Rahim Shri,Madras,CONG(I),03/04/1958 02/04/1962,Retirement
6,Abdul Salam Haji,Manipur,INC,10/04/2014 09/04/2020,"28/02/2017
Death"
7,Abdul Samad Shri A.K.A.,Tamil Nadu,ML,03/04/1964 02/04/1970,Retirement
7,Abdul Samad Shri A.K.A.,Tamil Nadu,ML,03/04/1970 02/04/1976,Retirement
8,Abdul Shakoor Maulana,Ajmer and Coorg,Congress,03/04/1952 02/04/1954,Retirement
8,Abdul Shakoor Maulana,Rajasthan,Congress,03/04/1956 02/04/1962,Retirement
8,Abdul Shakoor Maulana,Rajasthan,Congress,03/04/1962 02/04/1968,Retirement
9,Abdullah Dr. Farooq,Jammu & Kashmir,J&KNC,30/11/2002 29/11/2008,Retirement
9,Abdullah Dr. Farooq,Jammu & Kashmir,J&KNC,16/02/2009 15/02/2015,"16/05/2009
Elected to Lok Sabha"
10,Abid Shri Kasim Ali,Andhra Pradesh,Congress,10/04/1972 09/04/1978,Retirement
11,Abid Ali Shri,Bombay,Congress,03/04/1952 02/04/1954,Retirement
11,Abid Ali Shri,Bombay,Congress,03/04/1954 02/04/1958,Retirement
11,Abid Ali Shri,Bombay,Congress,03/04/1958 02/04/1964,Retirement
11,Abid Ali Shri,Maharashtra,CONG(O),03/04/1964 02/04/1970,Retirement
12,Abraham Shri Joy,Kerala,KC(M),02/07/2012 01/07/2018,Retirement
13,Abraham Shri P.,Pondicherry,Congress,07/08/1963 06/08/1969,Retirement
14,Abrar Ahmed Dr.,Rajasthan,CONG(I),03/04/1988 02/04/1994,Retirement
14,Abrar Ahmed Dr.,Rajasthan,INC,10/04/2002 09/04/2008,"04/05/2004
Death"
15,Abu Abraham Shri,Nominated,NOM.,03/04/1972 02/04/1978,Retirement
16,Acharya Shri Suryakantbhai,Gujarat,BJP,19/08/2005 18/08/2011,"21/12/2009
Death"
17,Achuthan Shri M.P.,Kerala,CPI,22/04/2009 21/04/2015,Retirement
18,Adeeb Shri Mohammed,Uttar Pradesh,IND.,26/11/2008 25/11/2014,Retirement
19,Adik Shri Govindrao,Maharashtra,CONG(I),03/08/1993 02/04/1994,Retirement
19,Adik Shri Govindrao,Maharashtra,CONG(I),03/04/1994 02/04/2000,Retirement
19,Adik Shri Govindrao,Maharashtra,NCP,04/08/2009 02/04/2012,Retirement
20,Adiseshiah Dr. Malcolm Sathianathan,Nominated,NOM.,14/04/1978 13/04/1984,Retirement
21,Adityendra Shri,Rajasthan,Congress,03/04/1954 02/04/1960,Retirement
22,Adivarekar Smt. Sushila Shankar,Maharashtra,Congress,18/09/1971 02/04/1972,Retirement
22,Adivarekar Smt. Sushila Shankar,Maharashtra,Congress,03/04/1972 02/04/1978,Retirement
22,Adivarekar Smt. Sushila Shankar,Maharashtra,CONG(I),03/04/1978 02/04/1984,Retirement
23,Advani Shri Lal K.,National Capital Territory of Delhi,JS,03/04/1970 02/04/1976,Retirement
23,Advani Shri Lal K.,Gujarat,JS,03/04/1976 02/04/1982,Retirement
23,Advani Shri Lal K.,Madhya Pradesh,BJP,03/04/1982 02/04/1988,Retirement
23,Advani Shri Lal K.,Madhya Pradesh,BJP,03/04/1988 02/04/1994,"27/11/1989
Elected to Lok Sabha"
24,Aga Ms. Anu,Nominated,NOM.,27/04/2012 26/04/2018,Retirement
25,Agarwal Shri Amar Nath,Uttar Pradesh,Congress,03/04/1952 02/04/1954,Retirement
