session,date_of_summon,date_of_commencement,time_of_commencement,date_of_adjournment,date_of_prorogation,total_days_in_session,actual_no_of_days_in_session,non_official_days,govt_business_days
1st (Part I),25.4.52,13.5.52,10.45 am,31.5.52,,19,13,-,13
1st (Part II)-B,,14.7.52,10.45 am,14.8.52,19.8.52,32,25,3,22
2nd,15.9.52,24.11.52,10.45 am,22.12.52,3.1.53,29,22,3,19
3rd (Part-I),15.1.53,11.2.53,2.00 pm,28.3.53,,45,24,,
3rd (Part II)-B,,9.4.53,2.00 pm,16.5.53,19.5.53,38,27,3,48
4th,7.8.53,*24.8.53,8.15 am,23.9.53,25.9.53,30,24,3,21
5th,6.10.53,23.11.53,1.30 pm,24.12.53,26.12.53,32,25,3,22
6th (Part-I),13.1.53,15.2.54,1.30 pm,18.3.54,,,,,
6th (Part-II) -B,,19.4.54,8.15 am,19.5.54,22.5.54,31,25,5,20
7th,14.6.54,23.8.54,8.15 am,30.9.54,1.10.54,39,29,4,25
8th,11.10.54,25.11.54,11.00 am,24.12.54,24.12.54,30,24,4,20
9th-B,11.1.55,21.2.55,11.00 am,4.5.55,6.5.55,73,50,5,45
10th,13.6.55,16.8.55,11.00 am,1.10.55,4.10.55,47,35,4,30
11th,17.10.55,21.11.55,11.00 am,24.12.55,26.12.55,34,26,4,22
12th-B,31.12.55,15.2.56,11.00am,16.3.56,17.3.56,31,23,2,21
13th-B,23.3.56,23.4.56,11.00 am,31.5.56,2.6.56,39,29,3,26
14th,9.6.56,30.7.56,11.00 am,13.9.56,15.9.56,46,34,4,30
15TH,25.9.56,19.11.56,11.00 am,22.12.56,23.12.56,34,27,4,23
16TH,19.2.57,18.3.57,11.00 am,28.3.57,30.3.57,11,9,1,8
17TH,25.4.57,13.5.57,11.00 am,1.6.57,1.6.57,20,17,2,15
18TH-B,20.6.57,12.8.57,11.00 am,14.9.57,14.9.57,34,23,2,21
19th,18.9.57,18.11.57,11.00 am,24.12.57,24.12.57,37,28,4,24
20th-B,30.12.57,10.2.58,11.00 am,14.3.58,15.3.58,33,23,4,19
21st,21.3.58,22.4.58,11.00 am,10.5.58,12.5.58,19,16,2,14
22nd,21.5.58,18.8.58,11.00 am,27.9.58,1.10.58,41,30,4,26
23rd,15.10.58,24.11.58,11.00am,24.12.58,25.12.58,31,22,4,18
24th-B,6.1.59,9.2.59,11.00am,13.3.59,14.3.59,33,26,4,22
25th-B,28.3.59,20.4.59,11.00am,8.5.59,9.5.59,19,15,2,13
26th,20.5.59,10.8.59,11.00am,11.9.59,12.9.59,33,24,4,20
27th,21.9.59,23.11.59,11.00am,22.12.59,23.12.59,30,22,4,18
28th-B,1.1.60,8.2.60,11.00am,11.3.60,12.3.60,33,25,3,22
29th-B,17.3.60,6.4.60,11.00am,29.4.60,1.5.60,24,17,3,14
30th,9.5.60,8.8.60,11.00am,9.9.60,10.9.60,33,24,4,20
31st,21.9.60,28.11.60,11.00am,23.12.60,24.12.60,26,20,3,17
32nd-B,27.12.60,14.2.61,11.00am,18.3.61,23.3.61,33,24,3,21
33rd-B,23.3.61,27.3.61,11.00am,30.3.61,31.3.61,4,4,-,4
34th-B,3.4.61,19.4.61,11.00am,5.5.61,10.5.61,17,13,2,11
35th,9.6.61,14.8.61,11.00am,8.9.61,9.9.61,26,19,3,16
36th,11.9.61,27.11.61,11.00am,15.12.61,16.12.61,19,15,4,11
37th,17.2.62,12.3.62,11.00am,30.3.62,31.3.62,19,13,2,11
38th-B,4.4.62,17.4.62,11.00am,11.5.62,12.5.62,25,18,3,15
39th-B,17.5.62,14.6.62,11.00am,26.6.62,28.6.62,13,11,2,9
40th,3.7.62,6.8.62,11.00am,7.9.62,9.9.62,33,23,4,19
41st,29.10.62,"*8.11.6221.1.63",11.00am,"12.12.6225.1.63",29.1.63,"355","265","4-","225"
42nd-B,31.1.63,18.2.63,11.00am,20.3.63,21.3.63,31,22,3,19
43rd-B,25.3.63,22.4.63,11.00am,11.5.63,17.5.63,20,17,2,15
44th,27.5.63,13.8.63,11.00am,21.9.63,23.9.63,40,29,5,24
45th,1.10.63,18.11.63,11.00am,23.12.63,24.12.63,36,27,5,22
46th-B,30.12.63,10.2.64,11.00am,17.3.64,18.3.64,37,27,4,23
47th-B,21.3.64,21.4.64,11.00am,8.5.64,9.5.64,18,14,2,12
48th,11.5.64,27.5.64,11.00am,6.6.64,9.6.64,11,7,2,5
49th,18.7.64,7.9.64,11.00am,3.10.64,5.10.64,27,20,4,16
51st-B,5.1.65,17.2.65,11.00am,31.3.65,2.4.65,43,29,5,24
52nd-B,5.4.65,3.5.65,11.00am,15.5.65,15.5.65,13,10,2,8
53rd,2.6.65,16.8.65,11.00am,24.9.65,25.9.65,40,29,5,24
54th,29.9.65,3.11.65,11.00am,10.12.65,13.12.65,38,28,6,22
55th-B,22.12.65,14.2.66,11.00am,7.4.66,12.4.66,53,36,6,30
56th-B,15.4.66,3.5.66,11.00am,19.5.66,20.5.66,17,13,2,11
57th,23.5.66,25.7.66,11.00am,10.9.66,12.9.66,48,35,6,29
58th,15.9.66,7.11.66,11.00am,10.12.66,13.12.66,34,25,4,21
59th,6.3.67,**18.3.67,11.00am,11.4.67,12.4.67,25,17,1,16
60th-B,17.4.67,22.5.67,11.00am,23.6.67,24.6.67,34,26,3,23
61st-B,3.7.67,24.7.67,11.00am,18.8.67,24.8.67,26,20,4,16
62nd,7.9.67,20.11.67,11.00am,27.12.67,30.12.67,39,28,5,23
63rd-B,8.1.68,12.2.68,11.00am,28.3.68,29.3.68,46,33,5,28
64th-B,5.4.68,29.4.68,11.00am,13.5.68,15.5.68,15,12,2,10
65th,20.5.68,22.7.68,11.00am,31.8.68,4.9.68,41,28,5,23
66th,19.9.68,18.11.68,11.00am,28.12.68,30.12.68,41,30,5,25
67th-B,6.1.69,17.2.69,11.00am,31.3.69,2.4.69,43,30,6,24
68th-B,5.4.69,28.4.69,11.00am,19.5.69,21.5.69,22,17,2,15
69th,29.5.69,21.7.69,11.00am,29.8.69,30.8.69,40,28,5,23
70th,20.9.69,17.11.69,11.oo am,24.12.69,26.12.69,38,27,5,22
71st-B,6.1.70,20.2.70,11.00am,4.4.70,7.4.70,44,29,4,25
72nd-B,9.4.70,27.4.70,11.00am,23.5.70,27.5.70,27,20,3,17
73rd,1.6.70,27.7.70,11.00am,7.9.70,9.9.70,43,30,5,25
74th,14.9.70,9.11.70,11.00am,18.12.70,23.12.70,40,28,4,24
75th,16.3.71,23.3.71,11.00am,7.4.71,14.4.71,16,13,2,11
76th-B,19.4.71,24.5.71,11.00am,25.6.71,29.6.71,33,25,4,21
77th-B,2.7.71,19.7.71,11.00am,14.8.71,19.8.71,27,20,2,18
78th,1.10.71,15.11.71,11.00am,24.12.71,26.12.71,40,31,5,26
80th-B,18.4.72,8.5.72,11.00am,3.6.72,5.6.72,27,21,3,18
81st,14.6.72,31.7.72,11.00am,4.9.72,6.9.72,36,25,5,20
82nd,16.9.72,13.11.72,11.00am,23.12.72,28.12.72,41,30,6,24
83rd-B,8.1.73,19.2.73,11.00am,31.3.73,2.4.73,41,30,5,25
84th-B,6.4.73,30.4.73,11.00am,19.5.73,25.5.73,20,14,2,12
85th,1.6.73,23.7.73,11.00am,4.9.73,7.9.73,44,29,6,23
86th,18.9.73,12.11.73,11.00am,24.12.73,25.12.73,43,32,6,26
87th-B,11.1.74,18.2.74,11.00am,26.3.74,27.3.04,37,25,4,21
88th-B,30.3.74,22.4.74,11.00am,14.5.74,17.5.74,23,16,3,13
89th,3.6.74,22.7.74,11.00am,11.8.74,12.9.74,52,40,6,34
